Serial Number:20293298 --

Date Time - GMT +05:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Button Down,EOF,
2018-05-06 05:38:23,47.13,97.73,46.54, , , ,
2018-05-06 05:53:23,47.44,97.41,46.76, , , ,
2018-05-06 06:08:23,47.83,97.83,47.26, , , ,
2018-05-06 06:23:23,50.22,93.40,48.41, , , ,
2018-05-06 06:38:23,50.76,91.87,48.50, , , ,
2018-05-06 06:53:23,51.15,93.12,49.25, , , ,
2018-05-06 07:08:23,53.62,82.87,48.56, , , ,
2018-05-06 07:23:23,54.62,87.70,51.07, , , ,
2018-05-06 07:38:23,52.38,89.20,49.32, , , ,
2018-05-06 07:53:23,51.38,90.61,48.75, , , ,
2018-05-06 08:08:23,51.22,92.77,49.22, , , ,
2018-05-06 08:23:23,51.15,95.56,49.94, , , ,
2018-05-06 08:38:23,50.61,95.10,49.27, , , ,
2018-05-06 08:53:23,50.68,95.93,49.59, , , ,
2018-05-06 09:08:23,50.99,97.19,50.24, , , ,
2018-05-06 09:23:23,51.61,97.65,50.99, , , ,
2018-05-06 09:38:23,51.92,97.30,51.20, , , ,
2018-05-06 09:53:23,51.69,97.30,50.97, , , ,
2018-05-06 10:08:23,52.54,98.98,52.28, , , ,
2018-05-06 10:23:23,52.07,98.55,51.70, , , ,
2018-05-06 10:38:23,52.07,98.90,51.79, , , ,
2018-05-06 10:53:23,52.07,97.75,51.48, , , ,
2018-05-06 11:08:23,52.54,97.03,51.74, , , ,
2018-05-06 11:23:23,52.69,97.81,52.11, , , ,
2018-05-06 11:38:23,53.23,96.66,52.33, , , ,
2018-05-06 11:53:23,52.77,98.21,52.30, , , ,
2018-05-06 12:08:23,52.69,97.41,52.00, , , ,
2018-05-06 12:23:23,53.31,99.13,53.10, , , ,
2018-05-06 12:38:23,53.31,98.74,52.99, , , ,
2018-05-06 12:53:23,53.00,98.23,52.54, , , ,
2018-05-06 13:08:23,52.54,98.18,52.06, , , ,
2018-05-06 13:23:23,52.61,98.58,52.25, , , ,
2018-05-06 13:38:23,52.46,98.60,52.10, , , ,
2018-05-06 13:53:23,52.46,98.58,52.09, , , ,
2018-05-06 14:08:23,52.69,98.21,52.22, , , ,
2018-05-06 14:23:23,52.15,98.92,51.88, , , ,
2018-05-06 14:38:23,51.76,99.69,51.70, , , ,
2018-05-06 14:53:23,51.61,99.64,51.53, , , ,
2018-05-06 15:08:23,51.53,99.66,51.46, , , ,
2018-05-06 15:23:23,51.38,99.24,51.19, , , ,
2018-05-06 15:38:23,50.99,99.19,50.79, , , ,
2018-05-06 15:53:23,50.68,99.08,50.45, , , ,
2018-05-06 16:08:23,50.61,98.74,50.28, , , ,
2018-05-06 16:23:23,50.30,99.48,50.18, , , ,
2018-05-06 16:38:23,50.14,99.06,49.91, , , ,
2018-05-06 16:53:23,50.22,99.43,50.08, , , ,
2018-05-06 17:08:23,50.30,99.82,50.27, , , ,
2018-05-06 17:23:23,50.14,99.06,49.91, , , ,
2018-05-06 17:38:23,49.99,98.98,49.73, , , ,
2018-05-06 17:53:23,49.76,99.35,49.60, , , ,
2018-05-06 18:08:23,49.52,98.90,49.25, , , ,
2018-05-06 18:23:23,49.37,99.29,49.20, , , ,
2018-05-06 18:38:23,49.29,99.66,49.22, , , ,
2018-05-06 18:53:23,49.29,99.98,49.31, , , ,
2018-05-06 19:08:23,49.14,99.64,49.06, , , ,
2018-05-06 19:23:23,49.29,99.98,49.31, , , ,
2018-05-06 19:38:23,49.29,99.72,49.24, , , ,
2018-05-06 19:53:23,49.37,99.72,49.31, , , ,
2018-05-06 20:08:23,49.22,99.98,49.23, , , ,
2018-05-06 20:23:23,49.37,99.98,49.38, , , ,
2018-05-06 20:38:23,49.37,99.98,49.38, , , ,
2018-05-06 20:53:23,49.52,99.98,49.54, , , ,
2018-05-06 21:08:23,49.60,99.98,49.62, , , ,
2018-05-06 21:23:23,49.76,99.98,49.77, , , ,
2018-05-06 21:38:23,49.68,99.98,49.69, , , ,
2018-05-06 21:53:23,49.45,99.98,49.46, , , ,
2018-05-06 22:08:23,49.52,99.98,49.54, , , ,
2018-05-06 22:23:23,49.45,99.98,49.46, , , ,
2018-05-06 22:38:23,49.52,99.98,49.54, , , ,
2018-05-06 22:53:23,49.60,99.98,49.62, , , ,
2018-05-06 23:08:23,49.52,99.98,49.54, , , ,
2018-05-06 23:23:23,49.37,99.98,49.38, , , ,
2018-05-06 23:38:23,49.29,99.98,49.31, , , ,
2018-05-06 23:53:23,49.22,99.98,49.23, , , ,
2018-05-07 00:08:23,49.22,99.98,49.23, , , ,
2018-05-07 00:23:23,49.22,99.98,49.23, , , ,
2018-05-07 00:38:23,49.22,99.98,49.23, , , ,
2018-05-07 00:53:23,49.06,99.98,49.07, , , ,
2018-05-07 01:08:23,49.06,99.98,49.07, , , ,
2018-05-07 01:23:23,49.14,99.98,49.15, , , ,
2018-05-07 01:38:23,49.06,99.98,49.07, , , ,
2018-05-07 01:53:23,48.98,99.98,49.00, , , ,
2018-05-07 02:08:23,48.98,99.98,49.00, , , ,
2018-05-07 02:23:23,48.83,99.98,48.84, , , ,
2018-05-07 02:38:23,48.91,99.98,48.92, , , ,
2018-05-07 02:53:23,48.91,99.61,48.82, , , ,
2018-05-07 03:08:23,48.83,99.98,48.84, , , ,
2018-05-07 03:23:23,48.75,99.64,48.67, , , ,
2018-05-07 03:38:23,48.52,98.76,48.21, , , ,
2018-05-07 03:53:23,48.21,99.53,48.10, , , ,
2018-05-07 04:08:23,47.98,99.11,47.76, , , ,
2018-05-07 04:23:23,47.59,99.40,47.45, , , ,
2018-05-07 04:38:23,47.59,99.00,47.34, , , ,
2018-05-07 04:53:23,47.28,98.95,47.02, , , ,
2018-05-07 05:08:23,47.21,98.95,46.94, , , ,
2018-05-07 05:23:23,47.05,99.32,46.89, , , ,
